RIndependent Gonzalez BaselineGreedy Bottleneck Dynamic FullyDynamic
2 3 2 3 3 2
2 3 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 3 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 5 2 3 3 2
2 6 2 3 3 2
2 5 2 3 3 2
2 6 2 3 3 2
2 3 2 3 3 2
2 6 2 3 3 2
2 5 2 3 3 2
2 6 2 3 3 2
2 3 2 3 3 2
2 6 2 3 3 2
2 3 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 2 3 2
2 6 2 3 3 2
2 3 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 3 2 3 3 2
2 6 2 3 3 2
2 5 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 3 2 3 3 2
2 3 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 5 2 3 3 2
2 5 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 5 2 3 3 2
2 6 2 3 3 2
2 3 2 3 3 2
2 5 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 3 2 3 3 2
2 6 2 3 3 2
2 3 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 2 3 2
2 3 2 3 3 2
2 5 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 3 2 2 3 2
2 6 2 2 3 2
2 6 2 3 3 2
2 3 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 3 2 3 3 2
2 6 2 3 3 2
2 5 2 3 3 2
2 3 2 3 3 2
2 3 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 4 2 3 3 2
2 6 2 3 3 2
1 6 2 3 3 2
2 6 2 3 3 2
1 6 2 3 3 2
2 4 2 3 3 2
2 5 2 3 3 2
2 3 2 2 3 2
2 6 2 3 3 2
2 4 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 3 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 3 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 3 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 5 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 5 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 2 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 2 3 2
2 4 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 5 2 3 3 2
2 5 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 1 3 2
2 6 2 3 3 2
2 4 2 3 3 2
2 5 2 3 3 2
2 6 2 3 3 2
2 5 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 3 2 3 3 2
2 6 2 3 3 2
2 3 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 5 2 3 3 2
2 3 2 3 3 2
2 5 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 5 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 3 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 5 2 3 3 2
2 6 2 3 3 2
2 3 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 3 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 3 2 2 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 3 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 2 2 1 3 2
2 6 2 2 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 4 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 3 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 5 2 3 3 2
2 5 2 3 3 2
2 5 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 3 2 3 3 2
2 5 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 2 3 2
2 6 2 3 3 2
2 3 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
1 3 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 4 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 3 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 3 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 5 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 4 2 3 3 2
2 3 2 3 3 2
2 5 2 3 3 2
2 6 2 3 3 2
2 4 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 3 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 3 2 3 3 2
2 6 2 3 3 2
2 6 2 2 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 3 2 3 3 2
2 3 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 5 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 4 2 3 3 2
2 6 2 3 3 2
2 3 2 3 3 2
2 6 2 2 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 3 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 3 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 3 2 3 3 2
2 6 2 3 3 2
2 4 2 3 3 2
2 4 2 3 3 2
2 6 2 2 3 2
2 4 2 3 3 2
2 6 2 3 3 2
2 3 2 3 3 2
2 3 2 3 3 2
2 6 2 3 3 2
2 3 2 3 3 2
2 6 2 3 3 2
2 4 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 2 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 3 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 3 2 3 3 2
2 6 2 3 3 2
2 6 2 2 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 3 2 3 3 2
2 4 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 3 2 3 3 2
2 4 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 3 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 2 3 2
2 6 2 3 3 2
2 3 2 2 3 2
1 3 2 3 3 2
2 6 2 3 3 2
2 3 2 3 3 2
2 6 2 3 3 2
2 4 2 3 3 2
2 3 2 3 3 2
2 6 2 3 3 2
2 3 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 5 2 3 3 2
2 5 2 3 3 2
2 6 2 3 3 2
2 3 2 3 3 2
2 6 2 3 3 2
2 5 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 5 2 3 3 2
2 6 2 3 3 2
2 3 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 3 2 3 3 2
2 3 2 3 3 2
2 2 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 5 2 3 3 2
2 6 2 3 3 2
2 3 2 3 3 2
2 3 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 3 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 5 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 3 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 5 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 5 2 3 3 2
2 4 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
1 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 2 3 2
2 3 2 3 3 2
2 6 2 3 3 2
2 5 2 3 3 2
2 6 2 3 3 2
2 4 2 3 3 2
2 4 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 3 2 3 3 2
2 6 2 3 3 2
2 2 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 3 2 3 3 2
2 5 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 3 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 5 2 3 3 2
2 6 2 3 3 2
2 3 2 3 3 2
2 4 2 2 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 4 2 3 3 2
2 3 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 3 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 5 2 3 3 2
2 3 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 5 2 3 3 2
2 6 2 3 3 2
2 3 2 3 3 2
2 6 2 3 3 2
2 3 2 3 3 2
2 6 2 3 3 2
2 4 2 3 3 2
2 6 2 2 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 5 2 3 3 2
2 6 2 3 3 2
2 3 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 5 2 3 3 2
2 5 2 3 3 2
2 6 2 3 3 2
2 5 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 4 2 3 3 2
2 5 2 3 3 2
2 3 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 3 2 3 3 2
2 5 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 1 3 2
2 3 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 3 2 3 3 2
2 6 2 3 3 2
2 3 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 4 2 3 3 2
2 6 2 3 3 2
2 3 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 3 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 3 2 3 3 2
2 5 2 3 3 2
2 6 2 3 3 2
2 4 2 3 3 2
2 6 2 3 3 2
2 3 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 5 2 3 3 2
2 4 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 2 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 3 2 3 3 2
2 6 2 3 3 2
2 3 2 3 3 2
2 6 2 3 3 2
2 3 2 3 3 2
2 4 2 3 3 2
2 3 2 3 3 2
2 3 2 3 3 2
2 6 2 3 3 2
2 3 2 3 3 2
2 6 2 3 3 2
2 4 2 3 3 2
2 4 2 3 3 2
2 6 2 3 3 2
2 3 2 3 3 2
2 6 2 3 3 2
2 5 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 4 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 5 2 3 3 2
2 6 2 3 3 2
2 4 2 3 3 2
2 6 2 3 3 2
2 3 2 3 3 2
2 3 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 3 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 3 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 3 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 4 2 3 3 2
2 6 2 3 3 2
2 4 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 4 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 5 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 3 2 3 3 2
2 3 2 3 3 2
2 4 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 5 2 3 3 2
2 5 2 2 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 2 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 5 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 3 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 3 2 3 3 2
2 6 2 3 3 2
2 5 2 3 3 2
2 3 2 3 3 2
2 4 2 3 3 2
2 4 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 5 2 3 3 2
2 3 2 3 3 2
2 3 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 3 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 5 2 3 3 2
2 3 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 3 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 3 2 3 3 2
2 6 2 3 3 2
2 3 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 3 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 4 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 4 2 3 3 2
2 3 2 3 3 2
2 6 2 3 3 2
2 6 2 2 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 5 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 2 3 2
2 6 2 3 3 2
2 5 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 4 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 3 2 3 3 2
2 3 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 4 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 3 2 3 3 2
2 3 2 3 3 2
2 6 2 3 3 2
2 3 2 3 3 2
2 6 2 3 3 2
2 3 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 3 2 3 3 2
2 4 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 4 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 3 2 2 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 3 2 3 3 2
2 3 2 3 3 2
2 5 2 3 3 2
2 3 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 3 2 3 3 2
1 6 2 2 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 3 2 3 3 2
2 3 2 3 3 2
2 5 2 3 3 2
2 5 2 3 3 2
2 3 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 4 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 4 2 3 3 2
2 6 2 3 3 2
2 5 2 3 3 2
2 3 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 2 3 2
2 3 2 3 3 2
2 6 2 3 3 2
2 5 2 3 3 2
2 3 2 3 3 2
2 6 2 3 3 2
2 4 2 3 3 2
2 5 2 3 3 2
2 3 2 3 3 2
2 6 2 3 3 2
2 4 2 3 3 2
2 3 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 3 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 5 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
1 5 2 3 3 2
2 5 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 3 2 3 3 2
2 6 2 3 3 2
2 6 2 2 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 5 2 3 3 2
2 4 2 3 3 2
2 4 2 3 3 2
2 6 2 3 3 2
2 6 2 2 3 2
2 3 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 3 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 5 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
1 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 3 2 3 3 2
2 4 2 3 3 2
2 3 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 5 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 3 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 4 2 3 3 2
2 6 2 3 3 2
2 3 2 3 3 2
2 6 2 3 3 2
2 3 2 3 3 2
2 3 2 3 3 2
2 6 2 3 3 2
2 3 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 5 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 5 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 3 2 3 3 2
2 3 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 4 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 2 3 2
2 6 2 3 3 2
2 4 2 3 3 2
2 4 2 3 3 2
2 6 2 3 3 2
2 3 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 3 2 3 3 2
2 3 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 5 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 5 2 3 3 2
2 6 2 3 3 2
2 3 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 4 2 2 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 5 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 3 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 3 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 2 2 3 3 2
2 3 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 3 2 3 3 2
2 3 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 3 2 3 3 2
2 3 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 2 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 3 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 3 2 3 3 2
2 6 2 3 3 2
2 3 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 2 3 2
2 6 2 3 3 2
2 5 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
1 3 2 3 3 2
2 2 2 3 3 2
2 5 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 3 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 3 2 3 3 2
2 6 2 3 3 2
2 5 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 3 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 4 2 3 3 2
2 6 2 3 3 2
2 3 2 3 3 2
2 3 2 3 3 2
2 3 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
1 4 2 3 3 2
2 3 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 3 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 4 2 3 3 2
2 3 2 3 3 2
2 6 2 3 3 2
2 3 2 3 3 2
2 6 2 3 3 2
2 3 2 3 3 2
2 6 2 3 3 2
2 3 2 3 3 2
2 6 2 3 3 2
2 3 2 3 3 2
2 6 2 3 3 2
2 2 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 4 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 3 2 3 3 2
2 6 2 3 3 2
2 4 2 3 3 2
1 3 2 3 3 2
2 3 2 3 3 2
2 4 2 3 3 2
2 6 2 3 3 2
2 3 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 5 2 3 3 2
2 6 2 3 3 2
2 3 2 3 3 2
2 6 2 3 3 2
2 3 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 3 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 3 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 3 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 3 2 3 3 2
2 6 2 3 3 2
2 3 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
2 6 2 3 3 2
